phrase,tsne_0,tsne_1,tsne_2,tsne_3,label
3d computer graphics,2.915008783340454,2.852057933807373,6.797120571136475,11.057409286499023,cs
3d core graphics system,2.749230146408081,2.831852436065674,6.697151184082031,10.958468437194824,cs
Gradient boosting,0.5070532560348511,11.472620964050293,4.259212493896484,-1.4079970121383667,cs
Node Link,2.129470109939575,-2.1941165924072266,0.17063811421394348,8.211930274963379,cs
Object Oriented Programming,-0.09861216694116592,5.3576436042785645,0.031599368900060654,5.167804718017578,cs
Singleton pattern,2.37544322013855,1.3836458921432495,-5.138463497161865,-6.39247989654541,cs
abstract algebra,-2.929145574569702,1.1019070148468018,-12.054630279541016,-2.4371542930603027,cs
abstract data structures,-0.7259791493415833,-2.5211970806121826,-5.789412021636963,-7.638810157775879,cs
abstract data type,-0.8029528856277466,-2.5465219020843506,-5.694612503051758,-7.588616847991943,cs
abstract graphical data type,-0.8088286519050598,-2.2366623878479004,-5.66383695602417,-7.596289157867432,cs
abstract machines,-0.9726006984710693,-2.9800753593444824,-5.039477825164795,-8.09391975402832,cs
acoustic model,-0.7804826498031616,1.2550519704818726,-1.5280336141586304,-0.957804799079895,cs
active networking,2.0984320640563965,-1.8855847120285034,-2.7546982765197754,11.051156997680664,cs
adaptive huffman coding,1.3015094995498657,7.5045671463012695,-3.1033992767333984,3.203549861907959,cs
adaptive predictive coding,1.1746416091918945,7.382821559906006,-3.0351998805999756,3.1710753440856934,cs
adjacency list,-2.3541500568389893,4.770264148712158,1.1753499507904053,1.639221429824829,cs
adjacency list data structure,-2.146390914916992,4.951098442077637,1.3850804567337036,1.9030519723892212,cs
adjacent vertices,-7.064759254455566,-1.1165971755981445,-4.816205978393555,-1.0264517068862915,cs
advanced computing environment,3.1775074005126953,3.005119562149048,2.6888439655303955,9.245828628540039,cs
affective computing,2.5687882900238037,1.8750512599945068,1.461008071899414,10.36318588256836,cs
algebraic theories,-1.3394231796264648,3.7474453449249268,8.449214935302734,9.566507339477539,cs
algorithmic assignment,-3.623368978500366,3.645780086517334,0.2400428056716919,8.36999225616455,cs
algorithmic complexity theory,-4.512101173400879,1.9316940307617188,1.395708441734314,10.43295669555664,cs
algorithmic design,-3.5693583488464355,3.6555845737457275,0.2837221622467041,8.421143531799316,cs
algorithmic information theory,-3.4450933933258057,3.3781561851501465,0.6742011904716492,8.251420021057129,cs
